student_id,carrera,semestre,horas_sueno,horas_estudio,asistencia_pct,actividad_fisica_min,cafe_tazas,estres_escala,uso_redes_horas,promedio_previo,calificacion_final,aprobacion,beca,trabaja,genero,grupo
STU-00001,Economia,8,7.1,6.2,80.2,28,2,8,4.5,82.4,66.7,0,si,24.9,hombre,C
STU-00002,Matematicas,4,7.9,7.8,86.4,92,1,6,1.0,65.2,66.3,0,si,0.0,prefiere_no_decir,C
STU-00003,Matematicas,7,6.2,10.1,74.5,40,2,9,3.5,99.0,74.4,1,no,0.0,mujer,D
STU-00004,Economia,4,8.2,2.8,77.3,76,4,6,3.1,75.6,56.0,0,si,16.4,hombre,A
STU-00005,Estadistica,1,7.6,0.5,68.5,41,0,5,2.7,57.5,53.9,0,no,0.0,hombre,F
STU-00006,Estadistica,5,6.5,4.8,74.6,9,2,8,1.5,84.8,58.6,0,no,17.3,hombre,B
STU-00007,Estadistica,7,6.7,7.8,92.0,112,1,6,2.7,93.9,87.5,1,si,0.0,hombre,A
STU-00008,Estadistica,3,7.7,2.0,77.1,69,1,7,5.4,86.2,67.9,0,no,15.7,mujer,D
STU-00009,Ciencia de Datos,4,7.7,8.7,77.0,2,2,6,0.9,77.0,84.1,1,si,0.0,mujer,B
STU-00010,Estadistica,5,7.1,10.8,74.1,29,2,5,1.1,88.2,88.6,1,si,14.8,mujer,E
STU-00011,Estadistica,2,6.1,8.6,80.7,24,3,6,0.7,79.9,82.9,1,no,0.0,mujer,E
STU-00012,Actuaria,2,7.2,7.2,89.0,99,0,3,4.8,83.4,86.7,1,no,5.9,hombre,B
STU-00013,Economia,1,8.4,6.6,75.3,89,0,6,2.9,68.9,68.0,0,no,0.0,hombre,A
STU-00014,Matematicas,8,5.0,8.0,74.5,21,3,9,4.4,71.7,68.5,0,si,0.0,mujer,C
STU-00015,Estadistica,8,7.4,10.0,85.1,28,0,7,3.0,94.8,90.0,1,si,0.0,mujer,C
STU-00016,Actuaria,6,4.9,11.9,94.0,105,1,7,3.9,91.7,90.9,1,no,0.0,prefiere_no_decir,F
STU-00017,Ciencia de Datos,8,6.8,9.5,89.6,102,2,6,1.0,88.3,88.1,1,no,0.0,mujer,A
STU-00018,Actuaria,4,7.5,4.7,88.5,90,0,3,2.8,80.8,69.6,0,no,0.0,hombre,D
STU-00019,Ciencia de Datos,4,6.8,10.5,83.1,116,2,5,3.0,84.5,90.8,1,si,0.0,mujer,C
STU-00020,Actuaria,8,6.6,8.2,70.5,37,0,6,1.4,95.7,88.6,1,no,0.0,mujer,D
STU-00021,Matematicas,2,8.3,5.9,84.5,65,2,4,1.8,80.1,69.2,0,si,3.5,hombre,E
STU-00022,Estadistica,8,7.0,6.1,90.6,44,3,6,4.8,82.2,84.9,1,no,0.0,mujer,B
STU-00023,Estadistica,5,6.7,4.7,63.1,43,8,10,2.3,87.0,52.6,0,no,27.9,mujer,A
STU-00024,Estadistica,7,7.7,10.2,98.2,100,2,6,5.7,86.3,89.6,1,no,0.0,hombre,E
STU-00025,Actuaria,6,6.4,6.1,80.4,61,2,6,2.3,100.0,86.5,1,si,0.0,mujer,F
STU-00026,Ciencia de Datos,7,8.0,9.0,61.3,27,0,9,4.7,100.0,81.7,1,si,0.0,hombre,C
STU-00027,Economia,5,7.0,5.6,85.4,103,0,5,3.2,91.4,66.3,0,si,0.0,mujer,A
STU-00028,Ciencia de Datos,1,8.9,5.2,84.0,18,0,4,3.9,86.9,74.4,1,si,0.0,mujer,B
STU-00029,Estadistica,4,8.2,4.8,70.4,17,5,6,4.5,86.4,64.8,0,no,18.5,hombre,F
STU-00030,Economia,5,5.7,9.0,81.9,72,4,6,0.2,86.3,75.0,1,no,16.7,hombre,F
STU-00031,Ciencia de Datos,8,6.7,12.7,90.6,70,0,5,2.2,82.4,95.2,1,no,0.0,hombre,E
STU-00032,Estadistica,7,5.8,7.3,78.9,34,3,8,1.0,90.5,67.3,0,no,29.2,hombre,A
STU-00033,Economia,3,7.5,4.8,80.2,67,0,4,0.9,70.1,61.0,0,si,0.0,prefiere_no_decir,B
STU-00034,Economia,5,7.5,7.7,85.6,68,1,7,2.0,70.2,71.6,1,no,10.9,hombre,D
STU-00035,Economia,9,6.3,5.7,81.8,13,2,8,6.6,74.4,52.8,0,no,0.0,mujer,A
STU-00036,Matematicas,1,8.2,2.1,46.5,38,1,10,2.6,68.9,35.0,0,si,22.8,mujer,D
STU-00037,Economia,6,6.2,6.9,76.4,64,1,8,1.4,77.8,74.7,1,no,27.0,mujer,E
STU-00038,Economia,5,5.7,6.6,70.3,18,2,7,0.7,67.9,62.8,0,no,17.9,hombre,E
STU-00039,Estadistica,3,5.4,7.4,76.4,7,1,7,2.3,73.6,63.1,0,si,0.0,hombre,F
STU-00040,Economia,4,7.4,6.6,85.3,71,5,4,1.8,80.0,75.3,1,si,0.0,mujer,B
STU-00041,Economia,4,6.7,2.1,66.9,11,1,7,1.5,62.1,50.6,0,si,16.8,mujer,A
STU-00042,Matematicas,9,7.1,6.8,92.5,111,2,6,2.6,83.1,79.5,1,no,0.0,mujer,F
STU-00043,Economia,6,6.3,4.3,61.9,32,1,7,3.6,63.3,57.7,0,si,16.5,mujer,A
STU-00044,Actuaria,7,5.4,0.8,64.0,47,3,10,5.9,66.1,35.0,0,si,19.6,mujer,E
STU-00045,Estadistica,7,8.8,8.5,90.7,69,0,4,1.0,73.7,83.1,1,no,0.0,mujer,C
STU-00046,Estadistica,8,6.9,8.2,87.4,64,3,6,4.3,90.3,88.7,1,si,0.0,mujer,E
STU-00047,Estadistica,6,7.8,11.6,92.7,67,2,4,2.4,79.7,92.5,1,no,0.0,hombre,B
STU-00048,Estadistica,2,5.4,6.0,89.7,52,3,6,2.3,75.3,71.1,1,no,0.0,mujer,E
STU-00049,Matematicas,8,6.7,6.6,71.3,56,3,9,4.0,98.7,65.3,0,si,14.3,mujer,E
STU-00050,Actuaria,2,7.6,7.9,87.9,48,1,7,7.0,85.5,69.4,0,si,0.0,hombre,F
STU-00051,Ciencia de Datos,8,6.1,8.3,75.6,48,1,7,3.5,74.7,65.8,0,si,7.8,hombre,B
STU-00052,Estadistica,4,6.4,3.2,61.3,107,1,4,5.4,86.9,58.0,0,si,13.9,mujer,B
STU-00053,Ciencia de Datos,7,7.5,8.0,83.1,12,0,5,1.4,82.0,85.1,1,si,13.1,hombre,E
STU-00054,Ciencia de Datos,7,5.7,9.9,100.0,118,1,4,2.4,90.5,82.0,1,no,0.0,hombre,B
STU-00055,Estadistica,6,7.7,8.0,92.1,129,1,7,1.9,92.7,89.9,1,si,13.1,mujer,B
STU-00056,Actuaria,1,6.8,2.1,64.2,40,1,10,6.6,85.1,46.7,0,si,30.4,mujer,D
STU-00057,Actuaria,3,8.7,2.4,88.0,41,1,3,4.0,71.2,59.5,0,no,0.0,hombre,F
STU-00058,Ciencia de Datos,8,6.9,6.7,84.5,68,5,8,1.2,89.6,75.1,1,no,27.0,hombre,B
STU-00059,Estadistica,5,6.3,10.0,67.1,24,0,6,8.0,97.4,90.5,1,no,21.5,mujer,E
STU-00060,Actuaria,7,6.9,6.1,75.7,99,3,7,0.4,62.4,64.5,0,si,20.8,hombre,D
STU-00061,Actuaria,1,8.5,6.0,93.3,51,2,5,2.0,72.5,66.7,0,no,0.0,mujer,F
STU-00062,Ciencia de Datos,9,7.9,11.2,86.4,105,1,7,4.6,89.9,93.0,1,si,0.0,hombre,C
STU-00063,Actuaria,7,7.9,5.6,80.9,54,2,7,2.5,80.8,79.7,1,no,0.0,mujer,F
STU-00064,Actuaria,6,7.0,5.7,93.4,177,4,6,2.0,69.6,70.2,1,no,21.4,hombre,C
STU-00065,Ciencia de Datos,9,6.7,15.0,90.5,46,1,4,1.7,100.0,100.0,1,si,12.0,mujer,B
STU-00066,Matematicas,7,6.3,7.7,79.7,20,0,8,3.8,89.1,58.3,0,no,21.2,mujer,A
STU-00067,Economia,3,7.9,3.5,76.5,31,1,5,1.5,81.2,65.9,0,no,0.0,hombre,C
STU-00068,Matematicas,7,8.0,8.2,71.8,10,1,8,4.0,80.5,82.8,1,no,0.0,mujer,E
STU-00069,Actuaria,4,7.9,5.9,84.9,11,1,5,1.4,65.2,64.4,0,no,26.6,hombre,B
STU-00070,Matematicas,9,6.4,5.5,70.9,21,1,7,1.2,99.2,64.4,0,si,13.9,hombre,B
STU-00071,Actuaria,7,7.8,6.7,66.6,21,3,6,4.5,77.0,64.1,0,no,12.2,hombre,F
STU-00072,Actuaria,2,8.5,2.8,66.5,60,0,5,2.4,88.6,63.4,0,si,31.4,hombre,A
STU-00073,Ciencia de Datos,6,5.6,5.2,76.4,32,1,7,2.7,75.1,64.5,0,no,24.1,hombre,B
STU-00074,Estadistica,6,6.6,10.0,78.4,77,1,6,2.1,86.1,78.9,1,no,0.0,mujer,E
STU-00075,Economia,2,6.4,0.5,86.6,121,0,5,2.2,86.6,65.9,0,no,28.7,mujer,D
STU-00076,Estadistica,8,7.0,8.4,89.0,49,2,5,4.9,70.5,91.0,1,si,0.0,hombre,A
STU-00077,Economia,5,6.2,4.9,72.0,45,1,5,1.7,89.6,73.6,1,no,14.0,no_binario,A
STU-00078,Ciencia de Datos,2,8.0,6.3,75.2,45,0,6,5.8,78.8,76.6,1,si,0.0,hombre,D
STU-00079,Matematicas,7,7.8,10.5,68.8,27,3,5,0.7,100.0,94.9,1,si,0.0,hombre,B
STU-00080,Matematicas,7,6.5,4.9,71.6,101,5,7,4.3,100.0,70.3,1,no,30.0,mujer,A
STU-00081,Actuaria,2,6.3,0.5,49.5,16,1,5,2.2,71.9,50.0,0,no,27.3,no_binario,A
